customerID,fecha_lote,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,BancoPago
RET-0001,2026-06-29,Male,1,No,Yes,41,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,49.37,2024.17,
RET-0002,2026-06-29,Female,1,Yes,Yes,36,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,38.46,1384.56,
RET-0003,2026-06-29,Male,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.36,1775.84,
RET-0004,2026-06-29,Male,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,77.55,2481.6,
RET-0005,2026-06-29,Female,1,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,110.29,4963.05,
RET-0006,2026-06-29,Male,1,No,Yes,60,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,sin dato,3823.8,
RET-0007,2026-06-29,Male,0,Yes,Yes,46,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,87.19,4010.74,
RET-0008,2026-06-29,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,84.61,1438.37,
RET-0009,2026-06-29,Female,0,Yes,Yes,0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),49.13,0.0,
RET-0010,2026-06-29,Female,0,Yes,No,29,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,71.5,2073.5,
RET-0011,2026-06-29,Female,1,Yes,Yes,74,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),62.2,4602.8,
